dt,AverageTemperature
1918-01-01,23.508000000000006
1918-02-01,24.939
1918-03-01,25.487
1918-04-01,26.249000000000002
1918-05-01,26.656
1918-06-01,27.542
1918-07-01,28.301
1918-08-01,28.507
1918-09-01,28.163
1918-10-01,27.687
1918-11-01,26.313000000000002
1918-12-01,25.114
1919-01-01,24.022
1919-02-01,25.062
1919-03-01,25.88600000000001
1919-04-01,25.806
1919-05-01,27.574
1919-06-01,28.035
1919-07-01,28.422
1919-08-01,28.936
1919-09-01,28.154
1919-10-01,27.74
1919-11-01,26.467
1919-12-01,25.112
1920-01-01,24.621
1920-02-01,24.268
1920-03-01,25.117
1920-04-01,27.038
1920-05-01,27.546
1920-06-01,27.872
1920-07-01,28.451
1920-08-01,28.512
1920-09-01,28.306
1920-10-01,27.0
1920-11-01,26.063000000000002
1920-12-01,25.241
1921-01-01,24.713
1921-02-01,25.09
1921-03-01,25.85700000000001
1921-04-01,26.477
1921-05-01,26.731
1921-06-01,28.018
1921-07-01,28.466
1921-08-01,28.503
1921-09-01,28.526
1921-10-01,27.506
1921-11-01,26.59
1921-12-01,25.451
1922-01-01,24.63
1922-02-01,24.898000000000003
1922-03-01,25.974
1922-04-01,26.686
1922-05-01,27.303
1922-06-01,27.835
